Player,Deck1,Deck2,Deck3,Deck4
"TNTfire#31345","Token Druid","Deathrattle Hunter","Shudderwock Shaman","Zoo Warlock"
"TNTPavean#3280","Token Druid","Spell Hunter","Odd Rogue","Zoo Warlock"
"tom60229#3684","Token Druid","Tempo Mage","Odd Rogue","Zoo Warlock"
"trahison#11389","Token Druid","Odd Paladin","Odd Rogue","Zoo Warlock"
"Tredsred#1762","Token Druid","Odd Paladin","Odd Rogue","Zoo Warlock"
"Tyler#2449","Token Druid","Midrange Hunter","Odd Rogue","Even Warlock"
"XiaoDai#3807","Token Druid","Midrange Hunter","Odd Rogue","Zoo Warlock"
"YoungSpice#11714","Token Druid","Midrange Hunter","Odd Paladin","Even Shaman"
"Zyx#3505","Malygos Druid","Quest Rogue","Shudderwock Shaman","Even Warlock"


Deck1,Deck2,Deck3,Deck4,Percent of Field,,Players
"Token Druid","Odd Paladin","Odd Rogue","Zoo Warlock",14.9,,ahqShaxy#4711,kin0531#3693,Machamp#1278,Nicslay#2567,okasinnsuke#1294,player#3771,seogui#31381,strikeright#3969,switch#6148,trahison#11389,Tredsred#1762
"Token Druid","Midrange Hunter","Odd Rogue","Zoo Warlock",14.9,,aqua#1699,Chad#12155,CitizenNappa#1999,FroStee#6472,Hi3#31902,player#3759,Steelo#31585,Surrender#31359,Taesang#3307,Tansoku#1289,XiaoDai#3807
"Token Druid","Tempo Mage","Odd Rogue","Zoo Warlock",6.8,,blitzchung#3549,DacCarp#3361,player#3966,SamuelTsao#3234,tom60229#3684
"Token Druid","Spell Hunter","Odd Rogue","Zoo Warlock",4.1,,glory#1145,hinaya#1721,TNTPavean#3280
"Mill Druid","Control Priest","Control Warlock","Quest Warrior",4.1,,gyu#31470,player#3126,player#3381
"Taunt Druid","Deathrattle Hunter","Quest Rogue","Cube Warlock",2.7,,ahqRoger#4889,player#3550
"Token Druid","Midrange Hunter","Odd Paladin","Odd Rogue",2.7,,cocosasa#3734,Sonagi#31820
"Malygos Druid","Deathrattle Hunter","Quest Rogue","Shudderwock Shaman",2.7,,DawN#3542,player2#3550
"Token Druid","Control Priest","Quest Rogue","Even Warlock",2.7,,katsucurry#6248,Sequinox#1869
"Mill Druid","Control Priest","Control Warlock","Odd Warrior",2.7,,MCweifu#4734,player#3502
"Token Druid","Combo Priest","Quest Rogue","Zoo Warlock",2.7,,player#3999,Sooni#31863
"Mill Druid","Quest Rogue","Shudderwock Shaman","Cube Warlock",1.4,,Akumaker#1576
"Token Druid","Deathrattle Hunter","Odd Rogue","Zoo Warlock",1.4,,Asura#41638
"Mill Druid","Big Spell Mage","Shudderwock Shaman","Odd Warrior",1.4,,che0nsu#3470
"Malygos Druid","Odd Paladin","Odd Rogue","Zoo Warlock",1.4,,DacGyong#3539
"Malygos Druid","Control Priest","Even Warlock","Control Warrior",1.4,,DacRyvius#3965
"Mecha'thun Quest Priest","Quest Rogue","Control Warlock","Quest Warrior",1.4,,ddahyoni#31945
"Malygos Druid","Deathrattle Hunter","Odd Rogue","Cube Warlock",1.4,,Hadeson#1161
"Mill Druid","Control Priest","Quest Rogue","Control Warrior",1.4,,heisnotaxel#1382
"Malygos Druid","Deathrattle Hunter","Quest Rogue","Odd Warrior",1.4,,Khaius#11976
"Malygos Druid","Quest Rogue","Shudderwock Shaman","Cube Warlock",1.4,,Mage#1642
"Mill Druid","Control Priest","Shudderwock Shaman","Even Warlock",1.4,,MegaGliscor#1122
"Token Druid","Deathrattle Hunter","Quest Rogue","Zoo Warlock",1.4,,Pan#12621
"Malygos Druid","Deathrattle Hunter","Shudderwock Shaman","Cube Warlock",1.4,,player#1495
"Mech Paladin","Combo Priest","Quest Rogue","Control Warlock",1.4,,player#3844
"Mill Druid","Shudderwock Shaman","Mecha'thun Warlock","Mecha'thun Warrior",1.4,,player#3935
"Malygos Druid","Deathrattle Hunter","Shudderwock Shaman","Odd Warrior",1.4,,player#4797
"Token Druid","Deathrattle Hunter","Control Priest","Shudderwock Shaman",1.4,,Portia#3218
"Token Druid","Midrange Hunter","Odd Paladin","Zoo Warlock",1.4,,posesi#1277
"Mill Druid","Deathrattle Hunter","Shudderwock Shaman","Odd Quest Warrior",1.4,,reall#3914
"Mill Druid","Deathrattle Hunter","Quest Rogue","Shudderwock Shaman",1.4,,Redtea#3252
"Token Druid","Odd Paladin","Odd Rogue","Even Shaman",1.4,,SamDi#31840
"Token Druid","Quest Rogue","Even Shaman","Zoo Warlock",1.4,,SSOZI#31810
"Midrange Hunter","Odd Paladin","Odd Rogue","Even Shaman",1.4,,Staz#6447
"Taunt Druid","Deathrattle Hunter","Quest Rogue","Shudderwock Shaman",1.4,,TIZS#3227
"Token Druid","Deathrattle Hunter","Shudderwock Shaman","Even Warlock",1.4,,TNTAlpe#3505
"Token Druid","Deathrattle Hunter","Shudderwock Shaman","Zoo Warlock",1.4,,TNTfire#31345
"Token Druid","Midrange Hunter","Odd Rogue","Even Warlock",1.4,,Tyler#2449
"Token Druid","Midrange Hunter","Odd Paladin","Even Shaman",1.4,,YoungSpice#11714
"Malygos Druid","Quest Rogue","Shudderwock Shaman","Even Warlock",1.4,,Zyx#3505
