HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,tacoisbad,duncan,2,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,firox,nicslay,1,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,hikigayatai,leomane,3,2
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,rocko,abbvg3,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,alcoholic,capi,3,2
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,ympubhockax,bertels,2,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,smike,stoyven,3,1
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,cr7,fujitora,3,2
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,ryo,rdu,3,2
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,jispol2p,suvorovhero,3,2
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,pool8,peaco,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,danswf,farm4fame,0,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,ggeasyfromru,silvername,0,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,koroda,omphilion,2,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,lordcockatoo,ragnarek,2,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,swidz,dennis,3,1
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,a83650,andres09,3,2
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,香菇奾汁,marcoshadow,3,2
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,mainthing,scarakye,3,1
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,slytha,fiveever,3,1
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,athanas,g0dex,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,whiplash,thedarkness,2,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,noflame,nikothegreat,3,1
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,whopperjones,thisislayms,3,2
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,tessin,hmasato,2,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,akawonder,badboy,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,ziomas,diamantis,3,2
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,drboom,fibeli3,3,2
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,secdet,allad,0,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,boshfred,morrison,1,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,afeamrit,orange,0,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,gaara,mrgreen,2,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,piup,kalàxz,0,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,tmwkoxyd,casie,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,tchoumi,sebastianjo,1,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,redwhait,toastmonster,1,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,fenomeno,bycrash,2,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,gaboumme,villain,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,thunderup,proti,3,1
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,knuckels,ins4ne,1,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,edwardelric,peegpeppa,2,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,rinka,pthompson,0,3
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,mariellino,mirrari,3,1
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,blackixa,tsunamylost,3,1
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,tholwmenos,valenash,3,2
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,jokeh,glasnost,3,0
HCT Germany TakeTV (S1),Global Qualifier,,2018_01_15,1,,1,thatguy,threat,3,2
