HCT Taipei,Live Finals,Conquest,GroupD,https://battlefy.com/blizzardzhtw/hct-tour-stop-taipei-group-stage-and-finals/5ae29e0a5358020374320565/stage/5ae29f3e66cd3d0350ce0919/bracket/
HCT Taipei,Live Finals,Conquest,Top8,https://battlefy.com/blizzardzhtw/hct-tour-stop-taipei-group-stage-and-finals/5ae29e0a5358020374320565/stage/5ae29fe2a545920365f0ea38/bracket/
HCT Tours,HCT Tours,LHS,,dreamhack-hct-grand-prix-tours-2018
HCT Austin,Dreamhack Austin,LHS,,dreamhack-hct-grand-prix-austin-2018
HCT Seoul,HCT Seoul,Conquest,Asia 1,https://battlefy.com/hct-seoul/hct-seoul-2018/5b0683a09da47903a68a4d5e/stage/5b0685258a33a403e8fcc680/bracket/7
HCT Seoul,HCT Seoul,Conquest,Asia 2,https://battlefy.com/hct-seoul/hct-seoul-2018/5b0683a09da47903a68a4d5e/stage/5b068546c5aa3c03abfeed1d/bracket/7
HCT Seoul,HCT Seoul,Conquest,Global,https://battlefy.com/hct-seoul/hct-seoul-2018/5b0683a09da47903a68a4d5e/stage/5b0684f955d07f03d4356d7c/bracket/6
HCT Seoul,HCT Seoul,Conquest,Korea,https://battlefy.com/hct-seoul/hct-seoul-2018/5b0683a09da47903a68a4d5e/stage/5b06856055d07f03d4356dc1/bracket/7
HCT Seoul,HCT Seoul,Conquest,32A1,https://battlefy.com/hct-seoul/hct-seoul-2018/5b0683a09da47903a68a4d5e/stage/5b1b19d263a19603e914cba8/bracket/
HCT Seoul,HCT Seoul,Conquest,32A2,https://battlefy.com/hct-seoul/hct-seoul-2018/5b0683a09da47903a68a4d5e/stage/5b1b1a080f441703bdbd7d40/bracket/
HCT Seoul,HCT Seoul,Conquest,32B,https://battlefy.com/hct-seoul/hct-seoul-2018/5b0683a09da47903a68a4d5e/stage/5b1b1a73a8ac4b03db593433/bracket/
HCT Seoul,HCT Seoul,Conquest,,https://battlefy.com/hct-seoul/hct-seoul-2018/5b0683a09da47903a68a4d5e/stage/5b1b1a43ed91af03c1a8db39/bracket/
HCT Seoul,HCT Seoul,Conquest,32C,https://battlefy.com/hct-seoul/hct-seoul-2018/5b0683a09da47903a68a4d5e/stage/5b1b168fa0346503a6369b3e/bracket/
HCT Seoul,HCT Seoul,Conquest,,https://battlefy.com/hct-seoul/hct-seoul-2018/5b0683a09da47903a68a4d5e/stage/5b1b189710c57803b3e4bce4/bracket/
HCT Seoul,HCT Seoul,Conquest,32D,https://battlefy.com/hct-seoul/hct-seoul-2018/5b0683a09da47903a68a4d5e/stage/5b1b1a92eec61203a2c1f57f/bracket/
HCT Seoul,HCT Seoul,Conquest,,https://battlefy.com/hct-seoul/hct-seoul-2018/5b0683a09da47903a68a4d5e/stage/5b1b189710c57803b3e4bce4/bracket/
HCT Seoul,HCT Seoul,Conquest,T16 A,https://battlefy.com/hct-seoul/hct-seoul-2018/5b0683a09da47903a68a4d5e/stage/5b1b6fd18e0a3203b346a624/bracket/
HCT Seoul,HCT Seoul,Conquest,T16 B,https://battlefy.com/hct-seoul/hct-seoul-2018/5b0683a09da47903a68a4d5e/stage/5b1b6fefa0346503a6369fae/bracket/
HCT Seoul,HCT Seoul,Conquest,T16 C,https://battlefy.com/hct-seoul/hct-seoul-2018/5b0683a09da47903a68a4d5e/stage/5b1b70128e0a3203b346a62f/bracket/
HCT Seoul,HCT Seoul,Conquest,T16 D,https://battlefy.com/hct-seoul/hct-seoul-2018/5b0683a09da47903a68a4d5e/stage/5b1b70282ed6ea03b33e75f7/bracket/
HCT Seoul,HCT Seoul,Conquest,Top8,https://battlefy.com/hct-seoul/hct-seoul-2018/5b0683a09da47903a68a4d5e/stage/5b1bbe50adbeed03a7b72511/bracket/
HCT Summer,Dreamhack Jonkoping,LHS,,dreamhack-hct-grand-prix-summer-2018
HCT Italy,HCT Italy,Conquest,Swiss,https://battlefy.com/evox/hct-tour-stop-italy-powered-by-zotac/5aa7d09f0b25e50393914521/stage/5aa7d0ba0f99cf034ea52f06/bracket/
HCT Italy,HCT Italy,Conquest,Top 16,https://battlefy.com/evox/hct-tour-stop-italy-powered-by-zotac/5aa7d09f0b25e50393914521/stage/5b41224b94b52303c9cab745/bracket/
HCT Oakland,Esports Arena Oakland,Conquest,,
HCT Tokyo,Global Qualifier 1,Conquest,Swiss,https://battlefy.com/hct-tokyo-tour-stop/hct-tokyo-tour-stop-global-open-qualifier-america-server/5acf16cb5afa0d034c3cfcf2/stage/5b2dabb7a11aa6039e8032a5/bracket/
HCT Tokyo,Global Qualifier 1,Conquest,Top8,https://battlefy.com/hct-tokyo-tour-stop/hct-tokyo-tour-stop-global-open-qualifier-america-server/5acf16cb5afa0d034c3cfcf2/stage/5b2f31a084d3a703cb9127d9/bracket/
HCT Tokyo,APAC Qualifier,Conquest,Swiss,https://battlefy.com/hct-tokyo-tour-stop/hct-tokyo-tour-stop-apac-qualifier-1-asia-server/5ad6fcc1ad7dd303670396f7/stage/5b2dab3a1de50e03c157aa1f/bracket/8
HCT Tokyo,APAC Qualifier,Conquest,Top8,https://battlefy.com/hct-tokyo-tour-stop/hct-tokyo-tour-stop-apac-qualifier-1-asia-server/5ad6fcc1ad7dd303670396f7/stage/5b2f31d70091e603b4a2ffd8/bracket/
HCT Tokyo,Global Qualifier 2,Conquest,Swiss,https://battlefy.com/hct-tokyo-tour-stop/hct-tokyo-tour-stop-global-qualifier-2-america-server/5ad6fb258fbdcf0355517c35/stage/5b36e2299a4af103b49bff0d/bracket/1
HCT Tokyo,Global Qualifier 2,Conquest,Top8,https://battlefy.com/hct-tokyo-tour-stop/hct-tokyo-tour-stop-global-qualifier-2-america-server/5ad6fb258fbdcf0355517c35/stage/5b38623bb0dfdc03a52a9a9d/bracket/
