HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,Sintolol
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,Radogask
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,thadcastle
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,Hell
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,ОпасныйЕвген
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,stathisv13
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,den
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,ГейбСудьбы
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,cabixo
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,Niizuma
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,MoonShinerrr
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,MouD
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,Sparkovsky
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,ULU4LULU
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,Meliador
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,Disq
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,Heki
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,cursed
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,jAKobUTG
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,doktorrrr
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,ДжонДаун228
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,Dosko
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,Litiq
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,Kochaan
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,Dizdemon
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,MagicZYYZA
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,Melane
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,ciprian04q
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,Sveiks
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,RafaDD
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,firefly
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,frenki1337
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,LazyA
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,Clay
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,Kallootulloo
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,SilentStorm
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,Ulquiomaru
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,Ginger
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,Fafa
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,Runhard
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,코둘기
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,Yaiza
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,Gann
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,Silverfox
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,s4mule
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,Tortitas
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,navioot
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,dawido
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,Pilou
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,CelticGuard
HCT German TakeTV (S1),Global Qualifier,Conquest,,1,,berserkci
