"battletag","class","deckstring"
"Tomas#2883","WARLOCK","  AAECAfqUAwTyBfMFnOIC7/ECDTCEAfcEzgfCCPcMm8sCn84C8tAC0eECh+gC9PcC0/gCAA== "
"Tomas#2883","SHAMAN","  AAECAaoICCD+BazCAvPCAvbsAqfuAs30Ao/7Agu9AdMB2QfwB7EIkcECm8sClugClO8CsPAC9vACAA== "
"zumpp#2702","DRUID","  AAECAZICCKIJws4CmdMCr9MC/eEC+eYC8eoC8fsCC0Bf6QH+AeQIiMECyccCoM0CntIC5tMC3esCAA== "
"zumpp#2702","WARLOCK","  AAECAfqUAwr7BvsHzAiuzQKgzgLCzgKX0wK/8QLN9AKn9wIK8gWKB7YH4QeNCOfLAvHQAv3QAojSAtjlAgA= "
"zumpp#2702","SHAMAN","  AAECAaoICv4F/wXTxQLPxwLCzgLrzwKc4gLD6gKn7gLv9wIKgQT1BN4F68ICysMCm8sC+9MC0eEC3+kC4vgCAA== "
"zumpp#2702","HUNTER","  AAECAR8K+AjGwgLTxQLd0gKG0wKc4gK26gLL7AKA8wK5+AIKjQGXCKvCAtjCApvLApzNAtPNAovhAuHjAvLxAgA= "
"Maverick#2233","PALADIN","  AAECAZ8FBK8E8wWe+ALi+AINRvkK68ICg8cCuMcC48sC+9MC0eEC1uUCteYC/eoC9v0C1v4CAA== "
"Maverick#2233","WARLOCK","  AAECAf0GBPcEysMCnOICj4IDDTCEAc4Hwgj3DJvLAvfNAp/OAvLQAtHhAofoAvT3AtP4AgA= "
"Maverick#2233","ROGUE","  AAECAaIHBLICrwTKwwKe+AINjALLA9QF8wX1Bd0IgcIC68IC0eECi+UC/eoCpu8C4vgCAA== "
"Maverick#2233","DRUID","  AAECAZICBPcDm8sCmdMC9fwCDUBf/QLmBeQIoM0Ch84CjtACmNICntIC29MC1+8C4vgCAA== "
"Xeno#2951","WARLOCK","  AAECAfqUAwT3zQKc4gL09wKPggMNMIQB9wTzBc4Hwgj3DJvLAp/OAvLQAtHhAofoAtP4AgA= "
"Xeno#2951","HUNTER","  AAECAR8G+AjTxQKG0wKc4gK26gKA8wIMjQGXCKvCAtjCApzNAt3SAovhAuHjAsvsAvLxArn4AuL4AgA= "
"Xeno#2951","DRUID","AAECAZICBCSZ0wKE5gLi+AINQF/9AvcD5gWFCOQIoM0Ch84CmNICntIC29MC1+8CAA=="
"Xeno#2951","ROGUE","  AAECAaIHBIbCAoDTAs/hAsPqAg3EAZwC7QKfA4gFmwXUBYYJl8EC/MEC2+MC9uwC4vgCAA== "
"Hoej#2550","DRUID","  AAECAZICApnTAoTmAg5AX/0C9wPmBYUI5AigzQKHzgKY0gKe0gLb0wLX7wLi+AIA "
"Hoej#2550","WARLOCK","  AAECAfqUAwbzBffNApziAu/xAvT3Ao+CAwwwhAH3BM4Hwgj3DJvLAp/OAvLQAtHhAofoAtP4AgA= "
"Hoej#2550","PALADIN","  AAECAZ8FBK8EpwX96gKe+AINRvMF+QrrwgKDxwK4xwLjywKVzgL70wLR4QLW5QK15gLW/gIA "
"Hoej#2550","ROGUE","  AAECAaIHBLICrwSe+ALn+gINjALLA9QF8wXdCIHCAuvCAtHhAovlAqbvAsf4AuL4Avr+AgA= "
"Jarla#21553","SHAMAN","  AAECAaoICt4F+wzTxQKc4gKr5wLD6gKn7gKe8ALv9wKZ+wIKgQT1BP4F/wWyBpfBAsfBApvLAvPnAu/xAgA= "
"Jarla#21553","HUNTER","  AAECAR8K+AjtCdPFApvLAobTApziArbqAsvsAoDzAuL4AgqNAZcIq8IC2MICnM0C3dICi+EC4eMC8vECufgCAA== "
"Jarla#21553","DRUID","  AAECAZICBMQGws4Cr9MC8eoCDUBf6QHkCMnHApTSApjSAp7SAubTAovhAoTmAt3rAo3wAgA= "
"Jarla#21553","ROGUE","  AAECAaIHCLQBiAWbBfzBAobCAoDTAs/hAsPqAgvEAZwC7QKfA9QFhgmXwQLH0wLb4wL27ALi+AIA "
"dawido#2832","DRUID","  AAECAZICBCSZ0wKE5gLi+AINQF/9AvcD5gWFCOQIoM0Ch84CmNICntIC29MC1+8CAA== "
"dawido#2832","WARLOCK","AAECAf0GBDD3zQKc4gKPggMNhAH3BPMFzgfCCPcMm8sCn84C8tAC0eECh+gC9PcC0/gCAA=="
"dawido#2832","HUNTER","  AAECAR8I+AjtCdPFAobTApziArbqAsvsAoDzAguNAZcIq8IC2MICnM0C3dICi+EC4eMC8vECufgC4vgCAA== "
"dawido#2832","ROGUE","  AAECAaIHBIbCAoDTAs/hAsPqAg3EAZwC7QKfA4gFmwXUBYYJl8EC/MEC2+MC9uwC4vgCAA== "
"BoarControl#2986","DRUID","  AAECAZICApnTAoTmAg5AX/0C9wPmBYUI5AigzQKHzgKY0gKe0gLb0wLX7wLi+AIA "
"BoarControl#2986","WARLOCK","  AAECAfqUAwSvBJziAu/xAo+CAw0whAHOB8II9wybywL3zQKfzgLy0ALR4QKH6AL09wLT+AIA "
"BoarControl#2986","PALADIN","  AAECAZ8FBK8E/eoCnvgC4vgCDUbzBfkK68ICg8cCuMcC48sC+9MC0eEC1uUCteYC9v0C1v4CAA== "
"BoarControl#2986","HUNTER","  AAECAR8IhwTJBNfNAt/SAobTAsvsAoDzAqeCAwueAagCtQPHA+sHlwj+DI7DAp3MAuPSAovlAgA= "
"Sintolol#2775","ROGUE","  AAECAaIHBK8E/eoCnvgC5/oCDYwCywPUBfMF9QXdCIHCAp/CAuvCAtHhAovlAqbvAuL4AgA= "
"Sintolol#2775","DRUID","  AAECAZICApnTAoTmAg5AX/0C9wPmBYUI5AigzQKHzgKY0gKe0gLb0wLX7wLi+AIA "
"Sintolol#2775","WARLOCK","  AAECAf0GBq8E8wX3zQKc4gLv8QKPggMMMIQBzgfCCPcMm8sCn84C8tAC0eECh+gC9PcC0/gCAA== "
"Sintolol#2775","MAGE","  AAECAf0EBHGi0wLu9gLvgAMNuwKVA6sEtATmBJYF7AXBwQKYxAKP0wL77AKV/wK5/wIA "
"Faeli#2572","ROGUE","  AAECAaIHBrICyAOvBMrDAp74AuL4AgyMAssD1AXzBfUF3QiBwgLrwgLR4QKL5QL96gKm7wIA "
"Faeli#2572","DRUID","  AAECAZICBP4BmdMChOYC4vgCDUBf/QL3A+YFhQjkCKDNAofOApjSAp7SAtvTAtfvAgA= "
"Faeli#2572","WARLOCK","  AAECAf0GBPcE8wWc4gKPggMNMIQBzgfCCPcMm8sCn84C8tAC0eECh+gC7/EC9PcC0/gCAA== "
"Faeli#2572","HUNTER","  AAECAR8MxwOHBMkErgaKB5cI3dIC39IChtMCy+wCgPMCp4IDCZ4BqAK1A+sH/gyOwwKdzALj0gKL5QIA "
"Vinz#2814","SHAMAN","  AAECAaoICvkD88IC08UCws4C688CnOICw+oCp+4C7/cCmfsCCvUE3gX+BevCAsrDApvLAvvTAtHhAt/pAuL4AgA= "
"Vinz#2814","DRUID","  AAECAZICDECiCcLOApjSApnTAq/TAovhAv3hAvnmAvHqAo/2AvX8Aglf6QHkCIjBAsnHAqDNAp7SAubTAt3rAgA= "
"Vinz#2814","HUNTER","  AAECAR8K+AjtCdPFApvLAobTApziArbqAsvsAoDzAuL4AgqNAZcIq8IC2MICnM0C3dICi+EC4eMC8vECufgCAA== "
