,,,,,"PNC#1102","Gladen#11397","killinallday#1537","SilentStorm#13722","Lucas#12819","Tuliowz#1870","chosenone#1133","wabeka#1626","bloodyface#1414","Apxvoid#11872","Monsanto#1657","Houdinii#1378","korextron#1532","AnguiStar#1109","cthulukitty#1446","Rase#1355","Perna#1691","docpwn#1485","Greed#12707","PapaJason#1186","Tarei#11497","strifecro#1914","Pizza#1279","zlsjs#1181","villain#1999","Sneakyche#1872","ute1234#1252","klei#11805","Justine#1262","wiz#11841","dog#1593","Purple#1567","zalae#1766","Gallon#11212","noblord#1509","Ant#1974","DrJikininki#1889","rayC#11391","Alan870806#1754","Pksnow#1547","SATANCURSEYO#1263","maxtheripper#1454","Nalguidan#1733","XisBau5e#1825","Deathsie#1201","IrvinG#1619","justsaiyan#1493","amnesiac#11705"
3,"Tar Creeper",33,34.4%,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,,2,2
3,"Vicious Fledgling",82,85.4%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,,1,2,2,,1,1,,
4,"Fire Plume Phoenix",6,6.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,
4,"Keeper of the Grove",1,2.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
4,"Saronite Chain Gang",96,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Spellbreaker",93,96.9%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1
5,"Bittertide Hydra",5,10.4%,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,
5,"Cobalt Scalebane",38,39.6%,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,,1,2,1,,1,1,1,1,,,,,,,,1,,,,,1,2,1,2,2
5,"Druid of the Claw",41,42.7%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,,,,,,2,2,1,1,1,1,1,1,1,2,,,,,,,,1,1,1,,2,2
5,"Faceless Manipulator",1,2.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,"Fungalmancer",95,99.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
5,"Harrison Jones",2,4.2%,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
5,"Leeroy Jenkins",12,25.0%,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,,,1,,1,,
6,"Nerubian Unraveler",3,6.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,
6,"Skulking Geist",1,2.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
6,"Spiteful Summoner",96,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,"Spreading Plague",1,2.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
7,"Malfurion the Pestilent",48,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,"Grand Archivist",51,53.1%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,,,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2
8,"The Lich King",39,81.2%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,,
10,"Ultimate Infestation",96,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
