Player,Deck1,Deck2,Deck3,Deck4
"strifecro#1914","Token Druid","Deathrattle Hunter","Quest Rogue","Zoo Warlock"
"SwaggyG#1193","Token Druid","Quest Rogue","Shudderwock Shaman","Even Warlock"
"Tarei#11497","Malygos Druid","Quest Rogue","Shudderwock Shaman","Cube Warlock"
"TheMaverick#1720","Mill Druid","Deathrattle Hunter","Quest Rogue","Shudderwock Shaman"
"Tincho#1287","Token Druid","Midrange Hunter","Odd Rogue","Zoo Warlock"
"UchihaSaske#11453","Mill Druid","Shudderwock Shaman","Even Warlock","Odd Warrior"
"villain#1999","Malygos Druid","Control Priest","Quest Rogue","Even Warlock"
"wiz#11841","Malygos Druid","Control Priest","Quest Rogue","Even Warlock"
"yoitsflo#1202","Token Druid","Midrange Hunter","Odd Paladin","Odd Rogue"
"zaguios#1765","Token Druid","Odd Paladin","Odd Rogue","Zoo Warlock"
"zalae#1766","Token Druid","Quest Rogue","Even Warlock","Odd Quest Warrior"
"Zamos#1260","Malygos Druid","Shudderwock Shaman","Cube Warlock","Control Warrior"
"zlsjs#1181","Malygos Druid","Control Priest","Quest Rogue","Even Warlock"


Deck1,Deck2,Deck3,Deck4,Percent of Field,,Players
"Taunt Druid","Deathrattle Hunter","Quest Rogue","Even Warlock",6.5,,dog#1593,Fled#1956,Nalguidan#1733,PNC#1102,seiger#1577
"Token Druid","Midrange Hunter","Odd Rogue","Zoo Warlock",5.2,,Activelee#1763,BlasèBlasè#1557,justsaiyan#1493,Tincho#1287
"Token Druid","Quest Rogue","Shudderwock Shaman","Even Warlock",5.2,,Akatsu#11192,Ant#1974,killinallday#1537,SwaggyG#1193
"Token Druid","Midrange Hunter","Odd Paladin","Odd Rogue",5.2,,amnesiac#11705,muzzy#1105,Nostam#1965,yoitsflo#1202
"Malygos Druid","Control Priest","Quest Rogue","Even Warlock",5.2,,caravaggio8#1983,villain#1999,wiz#11841,zlsjs#1181
"Token Druid","Midrange Hunter","Odd Rogue","Odd Warrior",3.9,,Firebat#1225,Gallon#11212,Purple#1567
"Big Druid","Midrange Hunter","Even Warlock","Quest Warrior",3.9,,jakaso27#1154,Qwerty97#1908,Ryder#12369
"Malygos Druid","Quest Rogue","Shudderwock Shaman","Even Warlock",2.6,,Alan870806#1754,noblord#1509
"Taunt Druid","Deathrattle Hunter","Even Warlock","Odd Warrior",2.6,,Apxvoid#11872,fr0zen#1184
"Token Druid","Midrange Hunter","Quest Rogue","Zoo Warlock",2.6,,control#1133,Jonahrah#1226
"Token Druid","Midrange Hunter","Odd Rogue","Even Warlock",2.6,,cowboys367#1568,Starfruit#1658
"Taunt Druid","Deathrattle Hunter","Quest Rogue","Shudderwock Shaman",2.6,,HotMEOWTH#1829,seohyun628#1679
"Token Druid","Odd Paladin","Odd Rogue","Zoo Warlock",2.6,,HSKeDaiBiao#1597,zaguios#1765
"Taunt Druid","Deathrattle Hunter","Quest Rogue","Cube Warlock",2.6,,Pelletire#2479,Rase#1355
"Malygos Druid","Deathrattle Hunter","Shudderwock Shaman","Odd Warrior",1.3,,Aviera#11169
"Malygos Druid","Deathrattle Hunter","Quest Rogue","Even Warlock",1.3,,bloodyface#1414
"Token Druid","Deathrattle Hunter","Quest Rogue","Even Warlock",1.3,,bobbyex#1314
"Token Druid","Quest Rogue","Shudderwock Shaman","Cube Warlock",1.3,,Cesky#1927
"OTK DK Paladin","Shudderwock Shaman","Mecha'thun Warlock","Control Warrior",1.3,,Cheese#1805
"Mill Druid","Deathrattle Hunter","Quest Rogue","Even Warlock",1.3,,Conrad#1201
"Token Druid","Shudderwock Shaman","Even Warlock","Odd Warrior",1.3,,Cydonia#1958
"Mill Druid","Quest Rogue","Shudderwock Shaman","Even Warlock",1.3,,ETC#11729
"Mill Druid","Control Priest","Even Warlock","Control Warrior",1.3,,fibonacci#1545
"Token Druid","Deathrattle Hunter","Shudderwock Shaman","Even Warlock",1.3,,Gladen#11397
"Malygos Druid","Mecha'thun Priest","Mecha'thun Warlock","Mecha'thun Warrior",1.3,,HockeyBoyz3#1228
"Token Druid","Odd Rogue","Token Shaman","Even Warlock",1.3,,Ike#1171
"Token Druid","Midrange Hunter","Odd Paladin","Control Priest",1.3,,InquisitorM#11490
"Taunt Druid","Deathrattle Hunter","Shudderwock Shaman","Cube Warlock",1.3,,ironFIRE#11368
"Tempo Mage","Odd Paladin","Odd Rogue","Zoo Warlock",1.3,,Joaquin#1259
"Token Druid","Control Priest","Even Warlock","Odd Warrior",1.3,,Justine#1262
"Midrange Hunter","Odd Rogue","Even Shaman","Even Warlock",1.3,,Kevor24#1127
"Control Priest","Quest Rogue","Cube Warlock","Odd Warrior",1.3,,klei#11805
"Mill Druid","Control Priest","Odd Rogue","Even Warlock",1.3,,korextron#1532
"Taunt Druid","Deathrattle Hunter","Shudderwock Shaman","Even Warlock",1.3,,Kuonet#1814
"Malygos Druid","Combo Priest","Odd Rogue","Even Warlock",1.3,,lii#11987
"Taunt Druid","Quest Rogue","Shudderwock Shaman","Cube Warlock",1.3,,lnguagehackr#1412
"Mill Druid","Midrange Hunter","Control Priest","Odd Warrior",1.3,,Lyme#1767
"Malygos Druid","Tempo Mage","Quest Rogue","Even Warlock",1.3,,Monsanto#1657
"Token Druid","Spell Hunter","Control Priest","Odd Warrior",1.3,,NoHandsGamer#1424
"Malygos Druid","Odd Rogue","Even Shaman","Even Warlock",1.3,,Ownerism#1396
"Token Druid","Odd Paladin","Odd Rogue","Odd Warrior",1.3,,Pal#1255
"Taunt Druid","Shudderwock Shaman","Control Warlock","Odd Warrior",1.3,,PrinceFancy#1443
"Mill Druid","Spell Hunter","Control Priest","Odd Warrior",1.3,,Rosty#1208
"Midrange Hunter","Tempo Mage","Odd Rogue","Zoo Warlock",1.3,,SnipedAgain#1736
"Token Druid","Deathrattle Hunter","Quest Rogue","Zoo Warlock",1.3,,strifecro#1914
"Malygos Druid","Quest Rogue","Shudderwock Shaman","Cube Warlock",1.3,,Tarei#11497
"Mill Druid","Deathrattle Hunter","Quest Rogue","Shudderwock Shaman",1.3,,TheMaverick#1720
"Mill Druid","Shudderwock Shaman","Even Warlock","Odd Warrior",1.3,,UchihaSaske#11453
"Token Druid","Quest Rogue","Even Warlock","Odd Quest Warrior",1.3,,zalae#1766
"Malygos Druid","Shudderwock Shaman","Cube Warlock","Control Warrior",1.3,,Zamos#1260
