,,,,,"Qwerty97#1908","Ryder#12369","jakaso27#1154"
1,"Lesser Jasper Spellstone",3,100.0%,,1,1,1
1,"Naturalize",6,100.0%,,2,2,2
2,"Wild Growth",6,100.0%,,2,2,2
3,"Drakkari Enchanter",3,100.0%,,1,1,1
3,"Greedy Sprite",6,100.0%,,2,2,2
4,"Branching Paths",6,100.0%,,2,2,2
4,"Bright-Eyed Scout",3,100.0%,,1,1,1
4,"Flobbidinous Floop",3,100.0%,,1,1,1
4,"Swipe",6,100.0%,,2,2,2
5,"Nourish",6,100.0%,,2,2,2
6,"Spreading Plague",6,100.0%,,2,2,2
7,"Malfurion the Pestilent",3,100.0%,,1,1,1
8,"Primordial Drake",6,100.0%,,2,2,2
8,"The Lich King",3,100.0%,,1,1,1
9,"Dragonhatcher",6,100.0%,,2,2,2
9,"Hadronox",3,100.0%,,1,1,1
9,"Master Oakheart",3,100.0%,,1,1,1
9,"Sleepy Dragon",6,100.0%,,2,2,2
9,"Ysera",3,100.0%,,1,1,1
10,"Tyrantus",3,100.0%,,1,1,1
