,,,,,"Pksnow#1547","Alan870806#1754"
0,"Backstab",4,100.0%,,2,2
0,"Preparation",4,100.0%,,2,2
0,"Shadowstep",2,100.0%,,1,1
1,"Cold Blood",4,100.0%,,2,2
1,"Fire Fly",2,100.0%,,1,1
2,"Bloodmage Thalnos",1,50.0%,,1,
2,"Eviscerate",4,100.0%,,2,2
2,"Sap",4,100.0%,,2,2
2,"Shiv",4,100.0%,,2,2
3,"Blink Fox",2,100.0%,,1,1
3,"Edwin VanCleef",2,100.0%,,1,1
3,"Fan of Knives",4,100.0%,,2,2
3,"Hench-Clan Thug",4,100.0%,,2,2
3,"SI:7 Agent",4,100.0%,,2,2
4,"Elven Minstrel",4,100.0%,,2,2
4,"Fal'dorei Strider",4,100.0%,,2,2
5,"Leeroy Jenkins",2,100.0%,,1,1
5,"Vilespine Slayer",2,100.0%,,1,1
6,"Gadgetzan Auctioneer",3,75.0%,,1,2
