,,,,,"HockeyBoyz3#1228"
0,"Inner Rage",2,100.0%,,2
1,"Shield Slam",2,100.0%,,2
1,"Whirlwind",2,100.0%,,2
2,"Battle Rage",2,100.0%,,2
2,"Commanding Shout",2,100.0%,,2
2,"Cornered Sentry",2,100.0%,,2
2,"Drywhisker Armorer",2,100.0%,,2
2,"Warpath",2,100.0%,,2
2,"Weapons Project",2,100.0%,,2
2,"Wild Pyromancer",2,100.0%,,2
3,"Acolyte of Pain",2,100.0%,,2
3,"Shield Block",2,100.0%,,2
4,"Ticking Abomination",1,100.0%,,1
5,"Brawl",1,100.0%,,1
6,"Hemet, Jungle Hunter",1,100.0%,,1
9,"Malygos",1,100.0%,,1
9,"The Boomship",1,100.0%,,1
10,"Mecha'thun",1,100.0%,,1
