Player,Deck1,Deck2,Deck3,Deck4
"Acseacse","Spell Hunter","Big Spell Mage","Murloc Paladin","Quest Priest"
"Adarics","Murloc Paladin","Odd Rogue","Elemental Shaman","Odd Quest Warrior"
"Agenbyte#1599","Malygos Druid","Shudderwock Shaman","Cube Warlock","Recruit Warrior"
"Alliestrasza","Token Druid","Big Spell Mage","Even Warlock","Quest Warrior"
"Ant#1974","Token Druid","Spell Hunter","Miracle Rogue","Shudderwock Shaman"
"Apxvoid","Spell Hunter","Tempo Mage","Miracle Rogue","Cube Warlock"
"Atlas","Token Druid","Big Spell Mage","Even Warlock","Quest Warrior"
"Aviera","Taunt Druid","Spell Hunter","Shudderwock Shaman","Cube Warlock"
"Awful","Recruit Hunter","Big Spell Mage","Control Priest","Recruit Warrior"
"BajaPigeon","Token Druid","Miracle Rogue","Shudderwock Shaman","Cube Warlock"
"Bearpilot","Spell Hunter","Big Spell Mage","Miracle Rogue","Even Warlock"
"binhmighty","Token Druid","Odd Rogue","Even Shaman","Even Warlock"
"BlinkFoxBOOM#1279","Spiteful Druid","Odd Paladin","Odd Rogue","Cube Warlock"
"BloodHunter#1290","Quest Priest","Even Shaman","Even Warlock","Control Warrior"
"Bloody","Token Druid","Recruit Hunter","Cube Warlock","Quest Warrior"
"BoarControl#2986","Token Druid","Miracle Rogue","Cube Warlock","Quest Warrior"
"Botticus","Token Druid","Odd Paladin","Miracle Rogue","Cube Warlock"
"Breezy","Token Druid","Spell Hunter","Control Priest","Even Warlock"
"Brodiaz","Spell Hunter","Tempo Mage","Murloc Paladin","Recruit Warrior"
"Broshy","Token Druid","Spell Hunter","Even Shaman","Quest Warrior"
"Bubblelift","Token Druid","Spell Hunter","Odd Paladin","Odd Rogue"
"Bubzee","Big Spell Mage","Odd Paladin","Odd Rogue","Even Warlock"
"cadvan","Taunt Druid","Tempo Mage","Control Priest","Control Warlock"
"CapnCrunch#1396","Token Druid","Quest Priest","Even Warlock","Quest Warrior"
"Caravaggio","Spell Hunter","Control Priest","Shudderwock Shaman","Recruit Warrior"
"cary#11906","Token Druid","Tempo Mage","Miracle Rogue","Cube Warlock"
"Casual#1852","Token Druid","Spell Hunter","Cube Warlock","Quest Warrior"
"Catdestroyer","Token Druid","Spell Hunter","Cube Warlock","Quest Warrior"
"chloe#12225","Token Druid","Murloc Paladin","Control Priest","Shudderwock Shaman"
"ChoBo","Token Druid","Spell Hunter","Tempo Mage","Cube Warlock"
"Circumstance","Spiteful Druid","Spell Hunter","Cube Warlock","Control Warrior"
"Clark","Token Druid","Spell Hunter","Shudderwock Shaman","Recruit Warrior"
