DrJikininki#1889,34,109,66,175,1,69
JoeyLinch#1657,41,95,79,174,0,0
Pardal#1849,61,68,106,174,0,0
MarcCadag#1506,56,70,104,174,0,0
GMac#11953,35,78,95,173,0,0
Artefy#1478,55,90,83,173,0,21
Maki#11334,45,100,72,172,0,5
Moyen#21244,45,108,64,172,1,111
XiaoDidi#2800,39,92,79,171,1,0
Paperninja#1648,44,93,78,171,0,13
starklord24#1457,57,65,106,171,0,0
Omgwtfman#1407,77,38,133,171,0,0
KeyboardHero#21122,35,87,83,170,0,0
Kamahl#2255,38,101,69,170,0,35
Walyhoop#2333,43,91,79,170,0,6
NainFéroce#13104,74,47,123,170,0,0
DanZack#1161,45,89,79,168,0,8
Mausbaer#1307,47,64,103,167,0,0
mikelemata#2406,41,71,95,166,0,0
HitoriBocchi#11575,50,80,86,166,0,0
Klein#11435,71,71,94,165,0,7
SpnAllmighty#2739,33,86,79,165,0,0
Itzvan#1364,43,93,71,164,1,30
Benchwarmer#11922,39,93,71,164,0,0
Burr0#2510,28,109,55,164,0,46
Baldwin#1555,63,75,88,163,0,0
Robnhoney#1915,35,103,60,163,0,21
HighQueenJim#2616,29,101,61,162,0,7
DirestBear#1752,37,77,85,162,0,0
Yogg#2768,28,110,52,162,1,92
Activelee#1763,34,99,61,160,0,57
Kampfaxt#22964,32,88,72,160,0,4
Fatalocity#1578,54,83,76,159,0,0
Akatsu#11192,51,86,73,159,1,51
RebornNA#1284,49,70,89,159,0,0
Impact#1923,39,91,66,157,0,79
Safetykiwi#2893,46,79,78,157,0,0
Memory#2171,37,92,64,156,0,29
風再起時#4160,41,54,102,156,0,0
RAKALb4IK#2798,33,80,76,156,0,0
s8ris#2419,28,105,50,155,1,104
Disdai#1645,40,93,61,154,0,62
신명수#3924,33,100,53,153,1,36
SprinterHS#2630,29,82,71,153,0,0
TerrenceM#1843,41,89,64,153,0,65
Kann#21963,45,76,76,152,0,5
TmwKOxyd#2380,51,87,64,151,0,24
kin0531#3693,33,98,53,151,1,100
Harker#21532,33,89,62,151,0,0
Stander#3814,36,93,58,151,0,22
Ricky#11676,40,66,85,151,0,0
Poolmaster#3690,41,82,68,150,0,22
warkage#1165,34,83,67,150,0,0
bLAKERS#1247,37,81,69,150,1,5
mariellino#2392,60,71,78,149,0,46
Sid#12898,42,79,70,149,0,23
Reliquary#2115,25,88,61,149,0,25
StormFever#1712,33,81,67,148,0,15
