Jesuisbob#2892,26,79,128,0.6172
GMac#11953,35,78,173,0.4509
cosimo#2991,27,78,125,0.6240
DirestBear#1752,37,77,162,0.4753
Kann#21963,45,76,152,0.5000
arcanine#3263,31,76,139,0.5468
gle#1808,23,76,116,0.6552
Baldwin#1555,63,75,163,0.4601
punswaterboy#1479,38,75,137,0.5474
Ekrow#1825,37,75,132,0.5682
minoru#1314,31,75,139,0.5396
maxchen#3485,29,74,124,0.5968
chpatro#2321,29,74,122,0.6066
juan233#1239,28,74,126,0.5873
Electrify#2682,28,74,128,0.5781
Lethal#21375,28,74,116,0.6379
Kalas#2638,25,74,120,0.6167
銀風#4626,25,74,126,0.5873
Butterz#1127,38,73,146,0.5000
ITSMEMIKEV#1107,73,72,208,0.3462
NGAPingkachu#2328,41,72,139,0.5180
Gripfighting#1561,33,72,133,0.5414
IllustBeast#1492,32,72,131,0.5496
Magsha#2120,32,72,177,0.4068
Zetalot#2985,25,72,119,0.6050
Klein#11435,71,71,165,0.4303
mariellino#2392,60,71,149,0.4765
mentheben#1653,50,71,195,0.3641
mikelemata#2406,41,71,166,0.4277
자유조퇴권#3795,27,71,116,0.6121
zenith#3521,27,71,115,0.6174
Dalok#2804,19,71,110,0.6455
MarcCadag#1506,56,70,174,0.4023
RebornNA#1284,49,70,159,0.4403
조치#3550,36,70,136,0.5147
JetLaw#1901,34,70,143,0.4895
Oni#12710,32,70,144,0.4861
Oso7#1421,27,70,127,0.5512
PonRoo#2677,24,70,118,0.5932
Wolcat#2810,36,69,122,0.5656
Chatthon#21982,27,69,112,0.6161
wmiler#1302,24,69,134,0.5149
NoRage#2568,20,69,110,0.6273
Pardal#1849,61,68,174,0.3908
Mugibaby#1686,44,68,138,0.4928
Moosey#1449,27,68,112,0.6071
Offerrall#2251,25,68,111,0.6126
Sindo#21453,24,68,116,0.5862
Patryn#2996,41,67,124,0.5403
yaoi420#1398,33,67,119,0.5630
MJM#1697,24,67,113,0.5929
LeandroLeal#1841,53,66,139,0.4748
Ricky#11676,40,66,151,0.4371
Rane#11745,37,66,141,0.4681
Magoho#2602,34,66,126,0.5238
Guiyze#1681,31,66,122,0.5410
Ginger#2436,30,66,109,0.6055
Gjrstad#2676,21,66,107,0.6168
starklord24#1457,57,65,171,0.3801
Rami94#1340,44,65,134,0.4851
Ignite#1455,27,65,111,0.5856
chakchyk#2392,25,65,124,0.5242
Mausbaer#1307,47,64,167,0.3832
Philosophy#1707,32,64,138,0.4638
Aska#2187,31,64,135,0.4741
Switch#6148,24,64,107,0.5981
eko#22977,24,64,106,0.6038
choco06743#3149,17,64,101,0.6337
