Archetype,Number,Percentage of Decks
"Spiteful Druid",28,9.6
"Taunt Druid",25,8.6
"Quest Druid",2,0.7
"Togwaggle Druid",1,0.3
"Token Druid",1,0.3
"Spell Hunter",4,1.4
"Odd Hunter",2,0.7
"Tempo Mage",19,6.5
"Big Spell Mage",7,2.4
"Even Paladin",24,8.2
"Murloc Paladin",8,2.7
"Control Paladin",1,0.3
"Odd Paladin",1,0.3
"Control Priest",42,14.4
"Combo Priest",4,1.4
"Quest Rogue",23,7.9
"Odd Rogue",4,1.4
"Miracle Rogue",3,1.0
"Shudderwock Shaman",1,0.3
"Control Warlock",38,13.0
"Cube Warlock",31,10.6
"Odd Warrior",10,3.4
"Quest Warrior",5,1.7
"Control Warrior",5,1.7
"Odd Quest Warrior",3,1.0
