,,"Nicslay#2567","Sintolol#2775","Seiko#2721","dawido#2832","Scruffy#2659","Faeli#2572","Findan#2596","martim#2226","eilic#2496","pokrovac#2638","Jarla#21553","Glaser#2196","hunterace#2217","ntR#1799","Twink#21785","Zhym#2678","Ronnie#2895","riku97#2895","Zuka#2978","KalÃ xz#2721","yogg#2768","Windello#2498","Warma#2764","Maverick#2233","Odemian#2999","A83650#2106","zumpp#2702","Kolento#2266","Kalas#2638","Trec#2878","MM78#2809","Fox#29320","Swidz#2563","xBlyzes#2682","ignite#21733","ShtanUdachi#2202","RENMEN#2291","Raena#2283"
5,"Faceless Manipulator",1,1,1,1,1,1,1,1,1,  ,  ,  ,  ,  ,  ,  ,1,1,1,1,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,1,1,1,  
5,"Possessed Lackey",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Rotten Applebaum",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
5,"Skull of the Man'ari",1,1,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,  ,  ,  ,1
6,"Glinda Crowskin",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1
6,"Rin, the First Disciple",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,"Siphon Soul",  ,  ,  ,  ,  ,  ,  ,  ,1,1,1,1,1,1,1,1,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,  ,  ,1,1,  
6,"Skulking Geist",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,  ,  ,  
7,"Lord Godfrey",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,"The Lich King",  ,  ,  ,  ,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
8,"Twisting Nether",1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,  ,  ,1,  ,  ,1
9,"Voidlord",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
10,"Bloodreaver Gul'dan",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,"Mountain Giant",  ,  ,  ,  ,  ,2,2,2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2,2,  
