,Druid,Hunter,Mage,Paladin,Priest,Rogue,Shaman,Warlock,Warrior
Mexico,Taunt Druid,Deathrattle Hunter,Big Spell Mage,Odd Paladin,Control Priest,Kingsbane Rogue,Shudderwock Shaman,Cube Warlock,Quest Warrior
Netherlands,Malygos Druid,Deathrattle Hunter,Tempo Mage,Odd Paladin,Control Priest,Odd Rogue,Shudderwock Shaman,Zoo Warlock,Quest Warrior
New Zealand,Malygos Druid,Deathrattle Hunter,Tempo Mage,Odd Paladin,Control Priest,Quest Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior
Norway,Malygos Druid,Deathrattle Hunter,Tempo Mage,Odd Paladin,Control Priest,Quest Rogue,Shudderwock Shaman,Cube Warlock,Quest Warrior
Peru,Big Druid,Recruit Hunter,Murloc Mage,Odd Paladin,Control Priest,Odd Rogue,Even Shaman,Zoo Warlock,Quest Warrior
Philippines,Token Druid,Deathrattle Hunter,Tempo Mage,Odd Paladin,Control Priest,Miracle Rogue,Even Shaman,Zoo Warlock,Quest Warrior
Poland,Token Druid,Deathrattle Hunter,Tempo Mage,Odd Paladin,Control Priest,Miracle Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior
Portugal,Malygos Druid,Deathrattle Hunter,Big Spell Mage,Odd Paladin,Control Priest,Quest Rogue,Shudderwock Shaman,Cube Warlock,Quest Warrior
Romania,Malygos Druid,Deathrattle Hunter,Tempo Mage,Odd Paladin,Control Priest,Miracle Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior
Russia,Malygos Druid,Deathrattle Hunter,Tempo Mage,Odd Paladin,Control Priest,Quest Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior
Singapore,Malygos Druid,Deathrattle Hunter,Tempo Mage,Odd Paladin,Control Priest,Quest Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior
Slovakia,Malygos Druid,Deathrattle Hunter,Tempo Mage,Odd Paladin,Control Priest,Miracle Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior
South Korea,Malygos Druid,Deathrattle Hunter,Tempo Mage,Odd Paladin,Control Priest,Odd Rogue,Shudderwock Shaman,Zoo Warlock,Quest Warrior
Spain,Malygos Druid,Deathrattle Hunter,Tempo Mage,Odd Paladin,Control Priest,Odd Rogue,Shudderwock Shaman,Even Warlock,Odd Warrior
Sweden,Malygos Druid,Deathrattle Hunter,Big Spell Mage,Odd Paladin,Control Priest,Odd Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior
Switzerland,Malygos Druid,Deathrattle Hunter,Murloc Mage,Murloc Paladin,Control Priest,Miracle Rogue,Shudderwock Shaman,Even Warlock,Recruit Warrior
Taiwan,Token Druid,Deathrattle Hunter,Tempo Mage,Odd Paladin,Control Priest,Odd Rogue,Shudderwock Shaman,Cube Warlock,Quest Warrior
Thailand,Big Druid,Deathrattle Hunter,Tempo Mage,Odd Paladin,Control Priest,Odd Rogue,Shudderwock Shaman,Cube Warlock,Quest Warrior
Turkey,Malygos Druid,Deathrattle Hunter,Tempo Mage,Odd Paladin,Control Priest,Odd Rogue,Shudderwock Shaman,Zoo Warlock,Quest Warrior
Ukraine,Big Druid,Deathrattle Hunter,Murloc Mage,Odd Paladin,Control Priest,Miracle Rogue,Shudderwock Shaman,Even Warlock,Recruit Warrior
United Kingdom,Malygos Druid,Deathrattle Hunter,Tempo Mage,Odd Paladin,Control Priest,Odd Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior
United States,Malygos Druid,Deathrattle Hunter,Tempo Mage,Odd Paladin,Control Priest,Odd Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior
Vietnam,Malygos Druid,Deathrattle Hunter,Tempo Mage,Odd Paladin,Control Priest,Miracle Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior
