Team,Week,Druid,Hunter,Mage,Paladin,Priest,Rogue,Shaman,Warlock,Warrior,Banned 1,Pick 1,Pick 1,Banned 2,Banned 2,Pick 2,Pick 2,Banned 3,Pick 3
Indonesia,Week 1,Taunt Druid,Deathrattle Hunter,Big Spell Mage,Odd Paladin,Control Priest,Odd Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior,Shudderwock Shaman,Quest Warrior,Big Spell Mage,Taunt Druid,Deathrattle Hunter,Control Priest,Even Warlock,Odd Rogue,Odd Paladin
Israel,Week 1,Malygos Druid,Recruit Hunter,Big Spell Mage,Odd Paladin,Control Priest,Miracle Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior,Shudderwock Shaman,Miracle Rogue,Malygos Druid,Quest Warrior,Even Warlock,Control Priest,Recruit Hunter,Big Spell Mage,Odd Paladin
Italy,Week 1,Malygos Druid,Deathrattle Hunter,Tempo Mage,Odd Paladin,Control Priest,Miracle Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior,Shudderwock Shaman,Miracle Rogue,Deathrattle Hunter,Tempo Mage,Malygos Druid,Odd Paladin,Quest Warrior,Control Priest,Even Warlock
Japan,Week 1,Malygos Druid,Recruit Hunter,Tempo Mage,Odd Paladin,Control Priest,Odd Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior,Malygos Druid,Shudderwock Shaman,Recruit Hunter,Control Priest,Odd Paladin,Tempo Mage,Quest Warrior,Even Warlock,Odd Rogue
Kazakhstan,Week 1,Token Druid,Recruit Hunter,Big Spell Mage,Odd Paladin,Combo Priest,Odd Rogue,Even Shaman,Zoo Warlock,Quest Warrior,Big Spell Mage,Recruit Hunter,Zoo Warlock,Quest Warrior,Combo Priest,Even Shaman,Odd Rogue,Token Druid,Odd Paladin
Malaysia,Week 1,Token Druid,Deathrattle Hunter,Tempo Mage,Odd Paladin,Murloc Priest,Miracle Rogue,Even Shaman,Zoo Warlock,Quest Warrior,Even Shaman,Miracle Rogue,Token Druid,Tempo Mage,Deathrattle Hunter,Zoo Warlock,Odd Paladin,Murloc Priest,Quest Warrior
Mexico,Week 1,Token Druid,Recruit Hunter,Big Spell Mage,Odd Paladin,Control Priest,Miracle Rogue,Even Shaman,Zoo Warlock,Quest Warrior,Token Druid,Recruit Hunter,Control Priest,Odd Paladin,Zoo Warlock,Miracle Rogue,Quest Warrior,Even Shaman,Big Spell Mage
Netherlands,Week 1,Malygos Druid,Spell Hunter,Big Spell Mage,Odd Paladin,Control Priest,Miracle Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior,Shudderwock Shaman,Malygos Druid,Odd Paladin,Miracle Rogue,Even Warlock,Quest Warrior,Control Priest,Big Spell Mage,Spell Hunter
New Zealand,Week 1,Malygos Druid,Deathrattle Hunter,Big Spell Mage,Odd Paladin,Control Priest,Odd Rogue,Shudderwock Shaman,Cube Warlock,Quest Warrior,Malygos Druid,Shudderwock Shaman,Cube Warlock,Quest Warrior,Control Priest,Big Spell Mage,Deathrattle Hunter,Odd Paladin,Odd Rogue
Norway,Week 1,Malygos Druid,Midrange Hunter,Big Spell Mage,Odd Paladin,Control Priest,Odd Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior,Shudderwock Shaman,Quest Warrior,Malygos Druid,Big Spell Mage,Even Warlock,Control Priest,Odd Rogue,Midrange Hunter,Odd Paladin
Peru,Week 1,Taunt Druid,Deathrattle Hunter,Tempo Mage,Odd Paladin,Control Priest,Miracle Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior,Shudderwock Shaman,Tempo Mage,Deathrattle Hunter,Taunt Druid,Miracle Rogue,Even Warlock,Control Priest,Odd Paladin,Quest Warrior
Philippines,Week 1,Token Druid,Midrange Hunter,Big Spell Mage,Odd Paladin,Control Priest,Odd Rogue,Even Shaman,Zoo Warlock,Quest Warrior,Quest Warrior,Token Druid,Control Priest,Big Spell Mage,Odd Rogue,Odd Paladin,Zoo Warlock,Midrange Hunter,Even Shaman
Poland,Week 1,Token Druid,Deathrattle Hunter,Tempo Mage,Odd Paladin,Control Priest,Miracle Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior,Token Druid,Even Warlock,Quest Warrior,Deathrattle Hunter,Control Priest,Shudderwock Shaman,Tempo Mage,Miracle Rogue,Odd Paladin
Portugal,Week 1,Token Druid,Spell Hunter,Big Spell Mage,Odd Paladin,Quest Priest,Odd Rogue,Shudderwock Shaman,Cube Warlock,Quest Warrior,Shudderwock Shaman,Odd Paladin,Token Druid,Cube Warlock,Spell Hunter,Quest Priest,Odd Rogue,Quest Warrior,Big Spell Mage
Romania,Week 1,Taunt Druid,Recruit Hunter,Big Spell Mage,Odd Paladin,Control Priest,Miracle Rogue,Shudderwock Shaman,Cube Warlock,Quest Warrior,Miracle Rogue,Taunt Druid,Cube Warlock,Odd Paladin,Recruit Hunter,Control Priest,Shudderwock Shaman,Quest Warrior,Big Spell Mage
Russia,Week 1,Token Druid,Spell Hunter,Tempo Mage,Odd Paladin,Control Priest,Quest Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior,Quest Rogue,Shudderwock Shaman,Even Warlock,Token Druid,Control Priest,Quest Warrior,Tempo Mage,Spell Hunter,Odd Paladin
Singapore,Week 1,Malygos Druid,Deathrattle Hunter,Big Spell Mage,Odd Paladin,Control Priest,Quest Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior,Shudderwock Shaman,Even Warlock,Quest Rogue,Deathrattle Hunter,Control Priest,Malygos Druid,Quest Warrior,Odd Paladin,Big Spell Mage
