,Secret Mage,Murloc Paladin,Silver Hand Paladin,Cube Warlock,Control Warlock,Combo Priest,Spiteful Priest,Control Priest,Zoo Warlock,Spell Hunter,Miracle Rogue,Big Priest,Kingsbane Rogue,Jade Druid,Quest Mage,Big Spell Mage,Jade Shaman,Secret Hunter,Midrange Hunter,Token Shaman,Control Warrior,OTK DK Paladin,Spiteful Druid,Control Mage,Control Paladin,Quest Druid,Quest Rogue,Aggro Paladin,Aggro Druid,Freeze Mage,Elemental Shaman,C'Thun Druid
Kingsbane Rogue,21.41,12.69,16.28,47.3,67.79,45.91,61.09,81.25,18.41,32.66,39.89,80.37,50,32.91,64.7,49.16,43.41,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99
Jade Druid,52.29,40.57,52.69,38.54,46.08,47.58,42.1,61.37,47.79,52.03,61.63,42.65,66.77,50,44.63,47.59,61.68,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99
Quest Mage,11.73,21.35,44.84,49.16,61.34,47.58,60.27,69.41,28.09,15.98,43.28,76.28,35.29,55.36,50,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99
Big Spell Mage,36.81,49.12,34.22,33.74,45.69,70.15,41.85,65.15,56.07,43.28,53.84,28.75,50.83,51.92,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99
Jade Shaman,36.87,38.49,30.71,37.64,72.73,43.45,33.64,56.48,35.36,46.8,31.57,46.53,56.58,38.31,49.99,49.99,50,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99
Secret Hunter,57.11,38.22,31.23,53.35,55.65,52.45,42.95,54.06,47.92,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99
Midrange Hunter,49.83,49.62,38.43,49.65,42.49,40.82,47.59,45.17,49.33,41.86,57.14,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99
Token Shaman,49.54,49.16,45.6,44.06,42.36,53.48,44.44,34.82,49.04,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99
Control Warrior,37.27,49.48,65.45,19.71,50.71,47.61,20.89,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99
OTK DK Paladin,48.41,50.48,48.82,29.05,42.35,52.87,38.68,40.57,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99
