 ,Tempo Rogue,Razakus Priest,Zoo Warlock,Aggro-Token Druid,Jade Druid,Big Druid,Big Priest,Control Mage,Midrange Hunter,Token Shaman,Control Warlock,Murloc Paladin,Secret Mage,Exodia Mage,Dragon Priest,Miracle Rogue,
Tempo Rogue,0.5,0.477629878200348,0.5484501487580433,0.4691027042670183,0.5544690341396465,0.5243657091762601,0.4893962455606291,0.5441337776030133,0.54078627808136,0.5038295577130529,0.5369751908396947,0.5795927222671096,0.6071287128712871,0.6757674418604651,0.5515636634400596,0.5773439176142459,
Razakus Priest,0.5223701217996519,0.5,0.5071428571428571,0.5181951128267044,0.4267151767151767,0.38375096874192716,0.44410211267605637,0.5399545233068053,0.5069013432144511,0.5447402597402597,0.6551234567901234,0.46749895963379107,0.5116129785247432,0.4766666666666667,0.48847926267281105,0.6166666666666667,
Zoo Warlock,0.4515498512419567,0.4928571428571429,0.5,0.5024344197138315,0.5785790219702338,0.4355769230769231,0.37000230220244035,0.6506512493354599,0.5533625730994152,0.5644957983193277,0.5214285714285715,0.42840579710144927,0.6589257913855734,0.6498724489795918,0.4429824561403509,0.599078341013825,
Aggro-Token Druid,0.5308972957329817,0.4818048871732956,0.4975655802861685,0.5,0.5503027171833142,0.5445859872611465,0.420026525198939,0.46537081339712916,0.4917582417582418,0.5231958762886597,0.36796536796536794,0.4879901960784314,0.5647321428571428,0.5783625730994152,0.5189393939393939,0.59375,
Jade Druid,0.44553096586035346,0.5732848232848233,0.4214209780297662,0.30669728281668585,0.5,0.4301817345295606,0.5509227614490773,0.5393145161290323,0.4772727272727273,0.5510540184453228,0.5657421674370827,0.45578231292517,0.3686813186813187,0.46593776282590416,0.2777777777777778,0.5,
Big Druid,0.47563429082373987,0.6162490312580728,0.5644230769230769,0.4554140127388535,0.5698182654704393,0.5,0.5275308143059204,0.5476190476190477,0.4647622305850154,0.6719298245614035,0.7581018518518519,0.4648006785411366,0.3262411347517731,0.4099264705882353,0.42391304347826086,0.4925925925925926,
Big Priest,0.5106037544393709,0.5558978873239436,0.6299976977975597,0.579973474801061,0.44907723855092274,0.4724691856940796,0.5,0.5363636363636364,0.3451923076923077,0.6113387978142077,0.6527777777777778,0.4966397849462365,0.37870370370370365,0.23237179487179488,0.5695652173913044,0.5562770562770563,
Control Mage,0.4558662223969867,0.46004547669319473,0.3493487506645401,0.5346291866028708,0.46068548387096775,0.45238095238095233,0.4636363636363636,0.5,0.5136200716845878,0.40512820512820513,0.512987012987013,0.38194238194238195,0.3010057471264368,0.5333333333333333,0.6303030303030304,0.5,
Midrange Hunter,0.45921372191863996,0.4930986567855489,0.44663742690058483,0.5082417582417582,0.5227272727272727,0.5352377694149846,0.6548076923076923,0.4863799283154122,0.5,0.41413662239089183,0.6534090909090908,0.3034090909090909,0.5700757575757576,0.7727272727272727,0.4166666666666667,0.5,
Token Shaman,0.49617044228694707,0.45525974025974025,0.4355042016806723,0.4768041237113403,0.44894598155467724,0.3280701754385965,0.38866120218579225,0.5948717948717949,0.5858633776091082,0.5,0.32575757575757575,0.5927318295739348,0.6653225806451613,0.5753968253968254,0.3666666666666667,0.5,
Control Warlock,0.4630248091603053,0.3448765432098766,0.47857142857142854,0.6320346320346321,0.4342578325629173,0.24189814814814814,0.3472222222222222,0.487012987012987,0.34659090909090917,0.6742424242424243,0.5,0.5576923076923077,0.32309941520467833,0.3214285714285714,0.513157894736842,0.5,
Murloc Paladin,0.42040727773289044,0.5325010403662089,0.5715942028985508,0.5120098039215686,0.54421768707483,0.5351993214588634,0.5033602150537635,0.618057618057618,0.696590909090909,0.4072681704260652,0.4423076923076923,0.5,0.5974499089253188,0.6444444444444444,0.5157342657342657,0.5296442687747036,
Secret Mage,0.3928712871287129,0.4883870214752568,0.3410742086144266,0.4352678571428572,0.6313186813186813,0.6737588652482269,0.6212962962962963,0.6989942528735632,0.42992424242424243,0.33467741935483875,0.6769005847953217,0.4025500910746812,0.5,0.7964285714285715,0.606060606060606,0.5,
Exodia Mage,0.3242325581395349,0.5233333333333333,0.35012755102040816,0.4216374269005848,0.5340622371740958,0.5900735294117647,0.7676282051282051,0.4666666666666667,0.2272727272727273,0.42460317460317465,0.6785714285714286,0.3555555555555556,0.20357142857142851,0.5,0.5714285714285714,0.5,
Dragon Priest,0.4484363365599404,0.511520737327189,0.5570175438596491,0.4810606060606061,0.7222222222222222,0.5760869565217391,0.4304347826086956,0.36969696969696964,0.5833333333333333,0.6333333333333333,0.48684210526315796,0.48426573426573427,0.39393939393939403,0.4285714285714286,0.5,0.5,
Miracle Rogue,0.42265608238575414,0.3833333333333333,0.40092165898617504,0.40625,0.5,0.5074074074074074,0.44372294372294374,0.5,0.5,0.5,0.5,0.4703557312252964,0.5,0.5,0.5,0.5,
Overall,0.5214823443400313,0.49939267608213617,0.5015246291976798,0.5167631506944546,0.46691134871883866,0.52583597396133,0.5200063558414744,0.45517557089642346,0.5005815691740653,0.4727045919893607,0.44279222321214695,0.5168946609921379,0.49267549480093126,0.44427971563730667,0.5103691167835772,0.4463180329462299,
