Srouc#1630            10092   3.5 10.1% ['Spiteful Druid', 'Even Paladin', 'Quest Rogue', 'Cube Warlock']
ABS0L#3333             9931   3.4  9.9% ['Spiteful Druid', 'Spell Hunter', 'Even Paladin', 'Cube Warlock']
DacGyong#3539          9526   3.4  9.5% ['Spiteful Druid', 'Even Paladin', 'Miracle Rogue', 'Cube Warlock']
Akumaker#1576          9493   3.4  9.5% ['Even Paladin', 'Quest Rogue', 'Even Shaman', 'Cube Warlock']
trahison#11389         9126   3.4  9.1% ['Spiteful Druid', 'Tempo Mage', 'Even Paladin', 'Odd Rogue']
Mogumi#1641            9094   3.4  9.1% ['Spiteful Druid', 'Tempo Mage', 'Even Paladin', 'Odd Rogue']
Garchomp#1185          9072   3.4  9.1% ['Spiteful Druid', 'Tempo Mage', 'Even Paladin', 'Cube Warlock']
matuko#1900            9019   3.4  9.0% ['Spiteful Druid', 'Tempo Mage', 'Even Paladin', 'Odd Rogue']
GundamFlame#1892       8990   3.4  9.0% ['Spiteful Druid', 'Tempo Mage', 'Even Paladin', 'Cube Warlock']
oyatsu#11568           8838   3.4  8.8% ['Spiteful Druid', 'Tempo Mage', 'Even Paladin', 'Cube Warlock']
gogongsing#31127       8675   3.4  8.7% ['Odd Hunter', 'Tempo Mage', 'Even Paladin', 'Odd Rogue']
Alkaiser#11377         8621   3.4  8.6% ['Tempo Mage', 'Even Paladin', 'Odd Rogue', 'Cube Warlock']
blitzchung#3549        8591   3.4  8.6% ['Spiteful Druid', 'Tempo Mage', 'Even Paladin', 'Control Priest']
reall#3914             8533   3.4  8.5% ['Odd Hunter', 'Tempo Mage', 'Even Paladin', 'Odd Rogue']
Tredsred#1762          8501   3.4  8.5% ['Odd Hunter', 'Tempo Mage', 'Even Paladin', 'Odd Rogue']
GingaNinja#1921        8049   3.3  8.0% ['Tempo Mage', 'Even Paladin', 'Quest Rogue', 'Cube Warlock']
okasinnsuke#1294       7648   3.3  7.6% ['Spiteful Druid', 'Tempo Mage', 'Even Paladin', 'Quest Rogue']
