 ,Tempo Rogue,Razakus Priest,Zoo Warlock,Aggro-Token Druid,Jade Druid,Big Druid,Big Priest,Control Mage,Midrange Hunter,Token Shaman,Control Warlock,Murloc Paladin,Secret Mage,Exodia Mage,Miracle Rogue,Dragon Priest,
Tempo Rogue,0.5,0.4824462025515631,0.5492193505194687,0.47106176135397715,0.5407066052227343,0.5297521786492374,0.4984536816618853,0.5335177409763394,0.5524415171473995,0.5224466891133558,0.5264799154334038,0.5797675317710737,0.6079306722689075,0.636929736929737,0.5781678082191781,0.5756601607347875,
Razakus Priest,0.5175537974484369,0.5,0.5219772026906127,0.5169342859163897,0.41623160892263883,0.37095969997181816,0.44255245958032335,0.517281843396629,0.48780011711887566,0.5456744057490326,0.6679915209326974,0.46251987281399043,0.4960777322160813,0.5369318181818181,0.603813559322034,0.4732304900181488,
Zoo Warlock,0.4507806494805313,0.47802279730938735,0.5,0.49836601307189543,0.5855877234614776,0.43957096341696994,0.37370614329883045,0.6791848927771258,0.5819444444444444,0.6010695187165775,0.5169230769230769,0.4780283133687784,0.686539784453107,0.6050847457627119,0.6336206896551724,0.49242424242424243,
Aggro-Token Druid,0.5289382386460229,0.4830657140836103,0.5016339869281046,0.5,0.6951951951951951,0.5346034495200982,0.39278701662993387,0.46862745098039216,0.4519230769230769,0.4917763157894737,0.34448160535117056,0.4815746051701108,0.5992234685073339,0.632150776053215,0.6234432234432234,0.5942028985507246,
Jade Druid,0.4592933947772657,0.5837683910773612,0.4144122765385224,0.3048048048048049,0.5,0.4533769063180828,0.6152777777777778,0.49942528735632186,0.45276292335115864,0.4823717948717949,0.5196969696969697,0.4168173598553345,0.3658008658008658,0.4010263929618768,0.5189393939393939,0.3563218390804598,
Big Druid,0.4702478213507626,0.6290403000281819,0.56042903658303,0.4653965504799018,0.5466230936819172,0.5,0.5288461538461539,0.5738378922638027,0.4725790513833992,0.6437837837837838,0.8027509926262053,0.4385964912280702,0.3582887700534759,0.4564102564102564,0.43,0.5264550264550264,
Big Priest,0.5015463183381147,0.5574475404196766,0.6262938567011695,0.6072129833700661,0.3847222222222222,0.47115384615384615,0.5,0.5454424307036247,0.3585294117647059,0.5558954393770856,0.6433566433566433,0.44933983926521237,0.4011154011154011,0.24269005847953215,0.4733893557422969,0.5879120879120879,
Control Mage,0.4664822590236606,0.48271815660337103,0.3208151072228742,0.5313725490196078,0.5005747126436781,0.42616210773619734,0.45455756929637525,0.5,0.43916666666666665,0.49176356589147285,0.48413793103448277,0.40588235294117647,0.3133738601823708,0.5844907407407407,0.5833333333333333,0.6931818181818181,
Midrange Hunter,0.44755848285260047,0.5121998828811243,0.4180555555555556,0.5480769230769231,0.5472370766488414,0.5274209486166008,0.6414705882352941,0.5608333333333333,0.5,0.46111111111111114,0.5837837837837838,0.30372807017543857,0.6441202475685235,0.7232142857142857,0.5,0.625,
Token Shaman,0.4775533108866442,0.4543255942509674,0.39893048128342246,0.5082236842105263,0.5176282051282051,0.35621621621621624,0.44410456062291437,0.5082364341085271,0.5388888888888889,0.5,0.36273209549071617,0.5898550724637681,0.6095238095238096,0.47857142857142854,0.5,0.5,
Control Warlock,0.4735200845665962,0.3320084790673026,0.48307692307692307,0.6555183946488294,0.48030303030303034,0.1972490073737947,0.35664335664335667,0.5158620689655172,0.4162162162162162,0.6372679045092838,0.5,0.615546218487395,0.26936026936026936,0.3849206349206349,0.5,0.5,
Murloc Paladin,0.42023246822892635,0.5374801271860096,0.5219716866312216,0.5184253948298891,0.5831826401446655,0.5614035087719298,0.5506601607347876,0.5941176470588235,0.6962719298245614,0.4101449275362319,0.384453781512605,0.5,0.6559938524590163,0.6607565011820331,0.45636363636363636,0.5430622009569378,
Secret Mage,0.3920693277310925,0.5039222677839187,0.31346021554689296,0.4007765314926661,0.6341991341991342,0.6417112299465241,0.5988845988845989,0.6866261398176292,0.3558797524314765,0.3904761904761904,0.7306397306397306,0.3440061475409837,0.5,0.8119122257053292,0.4916666666666667,0.5,
Exodia Mage,0.363070263070263,0.4630681818181819,0.3949152542372881,0.367849223946785,0.5989736070381232,0.5435897435897437,0.7573099415204678,0.4155092592592593,0.2767857142857143,0.5214285714285715,0.6150793650793651,0.3392434988179669,0.18808777429467083,0.5,0.5,0.5,
Miracle Rogue,0.4218321917808219,0.39618644067796605,0.3663793103448276,0.37655677655677655,0.4810606060606061,0.5700000000000001,0.5266106442577031,0.41666666666666674,0.5,0.5,0.5,0.5436363636363637,0.5083333333333333,0.5,0.5,0.5,
Dragon Priest,0.42433983926521246,0.5267695099818512,0.5075757575757576,0.4057971014492754,0.6436781609195402,0.4735449735449736,0.41208791208791207,0.3068181818181819,0.375,0.5,0.5,0.4569377990430622,0.5,0.5,0.5,0.5,
Overall,0.5220269488599879,0.4981661493148468,0.5066911254442336,0.513770594746562,0.4691495064771252,0.5301604393334253,0.5119340126057521,0.46017500136109496,0.5078290798635642,0.4703772046764381,0.44998035217962984,0.5186206018916765,0.4833198533135072,0.4466363531916682,0.4479234170318987,0.4691939107332605,
