2018 Asia-Pacific Summer Playoffs Deck lists,,
Copy deck code into the Hearthstone Client to view,,
Note: This list is provided a courtesy. Battlefy is considered the source of truth for deck lists for this tournament.,,
Battletag,Class,Deck code
gogongsing#31127,hunter,AAECAYoWBK8E2wnrwgKe+AINoQKiAqgCtQOSBe0Glwj+DJfBAt3CApXOAuHjAovlAgA=
gogongsing#31127,mage,AAECAf0EBKsEvwiYxAKi0wINcbsClQO0BOYElgXsBZYGwcECj9MCvuwC++wC7/ECAA==
gogongsing#31127,rogue,AAECAaIHAq8EnvgCDowCogLLA9QF9QWBwgKfwgLrwgLKywLR4QKL5QL96gKm7wLH+AIA
b787#1808,warlock,AAECAaoICCCZAv4FigfAB8LOAqfuAs30AgvTAfsFqwbZB/AHkcECm8sClugC9uwClO8CsPACAA==
b787#1808,shaman,AAECAf0GCKIC2wbECNPFAsLOApfTArfxApz4AguKAbYHm8IC58sC8tAC+NACiNIC2OUC/OUC6uYC6OcCAA==
b787#1808,priest,AAECAZ8FBLnBArfnArfpAs30Ag37AZkC3APyBfQFlgbPBq8HsQiWCZvLAvjSAurmAgA=
b787#1808,paladin,AAECAa0GBsUEpQnTCtUK08UCkNMCDKEE5QT2B40I8gz7DNHBAsnHAujQAsvmAonxAr3zAgA=
Tredsred#1762,hunter,AAECAZ8FBO0FucECt+kCzfQCDfsBmQLcA/IF9AWWBs8GigevB7EIlgmbywL40gIA
Tredsred#1762,rogue,AAECAR8CrwSe+AIOogKoArUDkgXUBe0G2wn+DJfBAt3CAuHjAsnsAuXvAt6CAwA=
Tredsred#1762,mage,AAECAf0EAr8IotMCDnG7ApUDtATmBJYF7AXBwQKYxALUzgKP0wL77ALl7wLv8QIA
Tredsred#1762,paladin,AAECAaIHAq8EnvgCDowCogLLA9QF9QXdCIHCAuvCAtHhAovlAsnsAqbvAuXvAt6CAwA=
ahqRoger#4889,druid,AAECAaIHBs0DhsICgNMCz+EC2+MCw+oCDMQBnALtAp8DiAXUBYYJl8EC/MEC68ICxscC9uwCAA==
ahqRoger#4889,paladin,AAECAbSKAwi0Bd4F08UCyssCws4CmdMCnOIC0OcCC/IFl8ECn8IC68ICm8sCh84CkdAC0eEC+eYC1+sCi+4CAA==
ahqRoger#4889,rogue,AAECAf0GCPIFigfJwgKX0wKd4gLY5wLb6QKc+AILkwT3BLYH4QfnywLy0AL40AKI0gKL4QL85QLo5wIA
ahqRoger#4889,warlock,AAECAZ8FBtkHucECm8sCt+kCzfQC6/cCDPsBmQLcA/IF9AWWBs8GigevB7EIlgn40gIA
Hearthstoner#11283,paladin,AAECAZ8FBIoHucECt+kCzfQCDfsBmQLcA/IF9AWWBs8GrwexCJYJm8sC+NIC6uYCAA==
Hearthstoner#11283,warlock,AAECAf0GBqIC2waKB5fTAtjnApz4AgyKAbYHxAibwgLnywLy0AL40AKI0gL85QLq5gLo5wK38QIA
Hearthstoner#11283,druid,AAECAZICBMLOApnTApziAtDnAg20Bd4F8gWXwQLrwgLKwwKbywKHzgKR0ALR4QL55gLX6wKL7gIA
Hearthstoner#11283,priest,AAECAa0GBsUE0wrVCtYK08UCkNMCDKEE5QT2B40I8gz7DNHBAsnHAujQAsvmAonxAr3zAgA=
patoyao#1245,druid,AAECAZICCLQF3gWvwgLKwwLCzgKZ0wKc4gLQ5wIL8gWXwQKfwgLrwgKbywKHzgKR0ALR4QL55gLX6wKL7gIA
patoyao#1245,paladin,AAECAaToAgTZB7nBArfpAs30Ag37AZkC3APyBfQFlgbPBooHrwexCJYJm8sC+NICAA==
patoyao#1245,warlock,AAECAf0GBvIFycICl9MCneIC6uYC2+kCDIoBkwT3BLYH4QfnywLy0AL40AKI0gKL4QL85QLo5wIA
patoyao#1245,rogue,AAECAaIHBLQBhsICz+ECw+oCDcQBnALtAp8DiAXUBYYJl8EC/MEC68ICxscC2+MC9uwCAA==
Zyx#3505,paladin,AAECAZ8FBs8GucECycIC6uYCt+kCzfQCDPsBmQLcA/IF9AWWBooHrwexCJYJm8sC+NICAA==
Zyx#3505,warlock,AAECAf0GBooHycICl9MCneIC2+kCnPgCDIoBkwT3BLYH4QfnywLy0AL40AKI0gKL4QL85QLo5wIA
Zyx#3505,rogue,AAECAaIHBobCAsbHAoDTAs/hAtvjAsPqAgzEAZwC7QKfA4gF1AWGCZfBAvzBAuvCAsfTAvbsAgA=
Zyx#3505,druid,AAECAbSKAwi0BdPFAsrLAsLOApHQApnTApziAtDnAgveBfIFl8ECn8IC68ICm8sCh84C0eEC+eYC1+sCi+4CAA==
kin0531#3693,rogue,AAECAf0GCJME8gXJwgKX0wKd4gLq5gLb6QKc+AILigH3BLYH4QfnywLy0AL40AKI0gKL4QL85QLo5wIA
kin0531#3693,warlock,AAECAZ8FBNkHucECt+kCzfQCDfsBmQLcA/IF9AWWBs8GigevB7EIlgmbywL40gIA
kin0531#3693,paladin,AAECAaIHBIbCAoDTAs/hAsPqAg3EAZwC7QKfA4gF1AWGCZfBAvzBAuvCAsfTAtvjAvbsAgA=
kin0531#3693,druid,AAECAZICCLQF3gXTxQLKywLCzgKZ0wKc4gLQ5wIL8gWXwQKfwgLrwgKbywKHzgKR0ALR4QL55gLX6wKL7gIA
fire#3966,druid,AAECAbSKAwq0Bd4Fn8IC08UCyssCws4CmdMCnOIC0OcCi+4CCvIFl8EC68ICysMCm8sCh84CkdAC0eEC+eYC1+sCAA==
fire#3966,paladin,AAECAZ8FBpkCige5wQLCzgK36QLN9AIM+wHcA/IF9AWWBs8GrwexCJYJm8sC+NIC6uYCAA==
fire#3966,priest,AAECAa0GBsUE1gr7DNPFAqDOApDTAgyQAqEE5QT2B40I8gzRwQLJxwLo0ALL5gL86gK98wIA
fire#3966,warlock,AAECAf0GBvIFycICl9MCneIC2+kCnPgCDIoBkwT3BLYH4QfnywLy0AL40AKI0gKL4QL85QLo5wIA
Staz#6447,warlock,AAECAZ8FBpkCucECm8sCt+cCt+kCzfQCDPsB3AP0BZYGzwavB9kHsQiWCdnHAvjSAvbsAgA=
Staz#6447,rogue,AAECAYO6AgTIA68EnvgCx/gCDYwCywObBdQF9QXdCIHCAp/CAuvCAsrDAtHhAovlAqbvAgA=
Staz#6447,shaman,AAECAaoICiCZAqsGigfAB+XTAvbsAqfuAvbwAs30AgrTAf4F2QfwB7EIkcECm8sClugClO8C8PMCAA==
Staz#6447,paladin,AAECAf0GBpMEycICl9MC2+kCt/ECnPgCDIoB9wS2B+EHysMC58sC8tAC+NACiNICi+EC/OUC6OcCAA==
nukesaku#1872,paladin,AAECAZ8FBIoHucECt+kCzfQCDfsBmQLcA/IF9AWWBs8GrwexCJYJm8sC+NIC6uYCAA==
nukesaku#1872,druid,AAECAbSKAwa0BcrLAsLOApnTApziAtDnAgzeBfIFl8EC68ICysMCm8sCh84CkdAC0eECi+UC+eYC1+sCAA==
nukesaku#1872,warlock,AAECAcn1AgiiAtsGigfECJfTAtjnArfxApz4AguKAbYHm8IC58sC8tAC+NACiNIC2OUC/OUC6uYC6OcCAA==
nukesaku#1872,warrior,AAECAQcK0AKTBJAH+QzRwwLTxQKixwLPxwLN7wKe+AIKS6ICkQOiBPwE/webwgLK5wK67AKd8AIA
샹하이#31169,paladin,AAECAZ8FBrnBAurmArfnArfpAvbsAs30Agz7AZkC3AP0BZYGzwavB7EIlgnZxwKbywL40gIA
샹하이#31169,druid,AAECAZICCrQF8gWfwgLKwwLKywLCzgKZ0wKc4gKL5QLQ5wIK3gWXwQLrwgKbywKHzgKR0ALR4QL55gLX6wKL7gIA
샹하이#31169,warlock,AAECAf0GBsnCApfTAtjlAurmAtvpApz4AgyKAfcEtgfhB5vCAufLAvLQAvjQAojSAovhAvzlAujnAgA=
샹하이#31169,rogue,AAECAaIHAq8EnvgCDowCywPUBfUF3QiBwgKfwgLrwgLKwwLKywLR4QKL5QKm7wLH+AIA
ahqShaxy#4711,druid,AAECAZICBq8E3gXCzgKZ0wKc4gLQ5wIM8gWXwQKfwgLrwgKbywLKywKHzgKR0ALR4QL55gL96gLX6wIA
ahqShaxy#4711,warlock,AAECAf0GBvIFycICl9MCneIC2+kCnPgCDIoBkwT3BLYH4QfnywLy0AL40AKI0gKL4QL85QLo5wIA
ahqShaxy#4711,rogue,AAECAYO6AgbNA4bCAoDTAs/hAtvjAsPqAgzEAZwC7QKfA4gF1AWGCZfBAvzBAuvCAsbHAvbsAgA=
ahqShaxy#4711,paladin,AAECAYsWBLnBArfpAp3sAs30Ag37AZkC3APyBfQFlgbPBooHrwexCJYJm8sC+NICAA==
blitzchung#3549,priest,AAECAa0GBsUE0wrVCtPFAsnHApDTAgyhBOUE9geNCNYK8gz7DNHBAujQAsvmAonxAr3zAgA=
blitzchung#3549,paladin,AAECAaToAgTZB7nBArfpAs30Ag37AZkC3APyBfQFlgbPBooHrwexCJYJm8sC+NICAA==
blitzchung#3549,druid,AAECAZICCLQF3gXTxQLKywLCzgKZ0wKc4gLQ5wIL8gWXwQKfwgLrwgKbywKHzgKR0ALR4QL55gLX6wKL7gIA
blitzchung#3549,mage,AAECAf0EBPIFlga/CKLTAg1xuwKVA6sEtATmBJYF7AXBwQKYxAKP0wL77ALv8QIA
strikeright#3969,rogue,AAECAaIHBs0DigeGwgKA0wLP4QLD6gIMxAGcAu0CnwOIBdQFhgmXwQL8wQLH0wLb4wL27AIA
strikeright#3969,druid,AAECAZICCp/CAuvCAtPFAsLOApHQApnTApziAovlAtDnAsvsAgq0Bd4F8gWXwQKbywKHzgLR4QL55gLX6wKL7gIA
strikeright#3969,priest,AAECAa0GCMUE0wrVCtYK08UCoM4CkNMC6PkCC6EE5QT2B40I8gz7DNHBAsnHAujQAsvmAr3zAgA=
strikeright#3969,warlock,AAECAf0GCKMBogLbBsQI08UCl9MC2OcCnPgCC4oBtgebwgLnywLy0AL40AKI0gLY5QL85QLo5wK38QIA
Alkaiser#11377,rogue,AAECAaIHCKICyAOvBK/CAsrLAtHhAp74Asf4AguMAssD1AX1Bd0IgcICn8IC68ICysMCi+UCpu8CAA==
Alkaiser#11377,mage,AAECAf0EAvIFotMCDrsClQPbA7QE5gSWBdAHpwidwgKxwgKYxAL77ALv8QLeggMA
Alkaiser#11377,warlock,AAECAf0GBpMEycICl9MC2OcC2+kCnPgCDIoB9wS2B+EHm8IC58sC8tAC+NACiNICi+EC/OUC6OcCAA==
Alkaiser#11377,paladin,AAECAZ8FBtkHucECt+cCt+kC9uwCzfQCDJkC3APyBfQFlgbPBq8HsQiWCdnHApvLAvjSAgA=
GingaNinja#1921,warlock,AAECAf0GBvIFycICl9MCneIC2+kCnPgCDIoBkwT3BLYH4QfnywLy0AL40AKI0gKL4QL85QLo5wIA
GingaNinja#1921,paladin,AAECAaToAgSKB7nBArfpAs30Ag37AZkC3APyBfQFlgbPBq8H2QexCJYJm8sC+NICAA==
GingaNinja#1921,rogue,AAECAaIHBIbCAoDTAs/hAsPqAg3EAZwC7QKfA4gF1AWGCZfBAvzBAuvCAsfTAtvjAvbsAgA=
GingaNinja#1921,mage,AAECAf0EBO0Flga/CKLTAg1xuwKVA6sEtATmBJYF7AXBwQKYxAKP0wL77ALv8QIA
大黑神#3550,paladin,AAECAZ8FBNkHucECt+kCzfQCDfsBmQLcA/IF9AWWBs8GigevB7EIlgmbywL40gIA
大黑神#3550,druid,AAECAbSKAwqvBLQF68IC08UCyssCws4CkdACmdMCnOIC0OcCCt4F8gWXwQKfwgKbywKHzgLR4QL55gLX6wKL7gIA
大黑神#3550,rogue,AAECAYO6AgbNA4oHhsICgNMCz+ECw+oCDMQBnALtAp8DiAXUBYYJl8EC/MECx9MC2+MC9uwCAA==
大黑神#3550,warlock,AAECAf0GCooBkwTyBYoHycICl9MCneIC2OcC2+kCnPgCCvcEtgfhB+fLAvLQAvjQAojSAovhAvzlAujnAgA=
posesi#1277,rogue,AAECAaIHBsgDywOvBOUHyssCnvgCDIwC1AX1Bd0IgcICn8IC68ICysMC0eECi+UCpu8Cx/gCAA==
posesi#1277,warlock,AAECAf0GBMnCApfTAtvpApz4Ag2KAfcEtgebwgLnywLy0AL40AKI0gKL4QLY5QL85QLq5gLo5wIA
posesi#1277,paladin,AAECAZ8FBtkHucECt+cCt+kC9uwCzfQCDPsBmQLcA/QFlgbPBq8HsQiWCdnHApvLAvjSAgA=
posesi#1277,shaman,AAECAaoIBCDCzgKn7gLN9AINvQHTAZkC2QfwB7EIkcECrMICm8sClugC9uwClO8CsPACAA==
matuko#1900,rogue,AAECAaIHAq8EnvgCDowCogLLA9QF9QXdCIHCAuvCAtHhAovlAsnsAqbvAuXvAt6CAwA=
matuko#1900,mage,AAECAf0EAr8IotMCDnG7ApUDqwS0BOYElgXBwQKYxALUzgKP0wL77ALl7wLv8QIA
matuko#1900,druid,AAECAZICBq8E3gXTxQKZ0wKc4gLQ5wIMtAXyBZfBAuvCApvLAofOApHQAtHhAovlAvnmAtfrAuXvAgA=
matuko#1900,paladin,AAECAZ8FBpkC7QW5wQLCzgK36QLN9AIM+wHcA/IF9AWWBs8GrwexCJYJm8sC+NIC6uYCAA==
Mogumi#1641,mage,AAECAf0EBKsE7QW/CKLTAg1xuwKVA7QE5gSWBewFlgbBwQKYxAKP0wL77ALv8QIA
Mogumi#1641,rogue,AAECAaIHBKICrwTKwwKe+AINjALLA9QF9QXdCIHCAp/CAuvCAsrLAtHhAovlAqbvAsf4AgA=
