"battletag","class","deckstring"
"Tincho#1287","HUNTER","AAECAR8KxwOHBMkElwjXzQLd0gKG0wLL7AKA8wKnggMKngGoArUD6wf+DI7DAp3MAt/SAuPSAovlAgA="
"Tincho#1287","WARLOCK","AAECAfqUAwT3zQKc4gLv8QKPggMNMIQB9wTOB8II9wybywKfzgLy0ALR4QKH6AL09wLT+AIA"
"Tincho#1287","ROGUE","AAECAaIHBK8E/eoCnvgC5/oCDYwCywPUBfMF9QXdCIHCAp/CAuvCAtHhAovlAqbvAuL4AgA="
"Tincho#1287","DRUID","AAECAZICBPcDm8sCmdMC9fwCDUBf/QLmBeQIoM0Ch84CjtACmNICntIC29MC1+8C4vgCAA=="
"Aviera#11169","DRUID","AAECAbSKAwi0A94FmdMCm+gC/esCmu4C5PsC9fwCC0Bf6QHTA+QIoM0Ch84CmNICntIC29MCv/ICAA=="
"Aviera#11169","WARRIOR","AAECAQcIkwTTxQLPxwLD6gKa7gKS+AKe+AKggAMLS6ICogTeBf8Hm8ICoscCyucCg/sCjvsCnvsCAA=="
"Aviera#11169","SHAMAN","AAECAfe5Agj7DNPFApziAqvnAsPqAqfuAu/3Apn7AguBBPUE3gX+Bf8FsgaXwQLHwQKbywLz5wLv8QIA"
"Aviera#11169","HUNTER","AAECAYoWCt4F+AjTxQKbywKG0wKc4gK26gLL7AKA8wKggAMKjQGXCKvCAtjCApzNAt3SAovhAuHjAvLxArn4AgA="
"Conrad#1201","HUNTER","AAECAR8I3gX4CNPNAobTApziArbqAsvsAoDzAguNAZcIq8IC2MICm8sCnM0C3dICi+EC4eMC8vECufgCAA=="
"Conrad#1201","WARLOCK","AAECAfqUAwjyBfsHoM4Cps4Cws4Cl9MCy+wCzfQCC/sGige2B+EHjQjnywLx0AL90AKI0gLY5QLq5gIA"
"Conrad#1201","DRUID","AAECAbSKAwhW/gHtBZnTApvoAv3rApruAuT7AgtAX+kB3gXkCKDNAofOApjSAp7SAtvTAr/yAgA="
"Conrad#1201","ROGUE","AAECAaIHBogF/MEChsICgNMCz+ECw+oCDMQBnALtAp8DmwXUBYYJl8ECx9MC2+MC9uwC4vgCAA=="
"muzzy#1105","ROGUE","AAECAaIHBsgDrwSdDZ74AuL4Auf6AgyMAssD1AXzBfUF3QiBwgLrwgLKwwLR4QKL5QKm7wIA"
